,train,test,train_t,test_t
6200,0.158745984269414,0.1626052281789987,16715.09716796875,16863.773681640625
6300,0.1609892544588457,0.16692512184315467,17038.524658203125,17009.794921875
6400,0.15691813448543257,0.15972529906956134,17108.25390625,17100.43994140625
6500,0.15406558103467372,0.1618298626495348,17518.89404296875,16998.031005859375
6600,0.15082530187216125,0.15673460345591494,17725.52294921875,17550.069091796875
6700,0.1470588235294118,0.15296854231280466,19006.487060546875,17360.693115234375
6800,0.14539714190761055,0.1540762073548959,18207.964111328125,17512.18017578125
6900,0.14647723496178133,0.15396544085068675,18660.06396484375,17556.289794921875
7000,0.14539714190761055,0.15429774036331412,18626.235107421875,17609.011962890625
7100,0.14536944721391376,0.1540762073548959,19419.56884765625,17714.8798828125
7200,0.1447878586462834,0.15529463890119632,19299.840087890625,17326.85693359375
7300,0.14578486761936416,0.15429774036331412,19376.654296875,17600.385498046875
7400,0.1450371108895535,0.15518387239698717,19341.076171875,17719.501953125
7500,0.1450648055832503,0.15474080638015064,19430.2958984375,17765.2978515625
7600,0.1445386064030132,0.15518387239698717,19597.6298828125,17709.0419921875
7700,0.14500941619585683,0.15518387239698717,19701.535888671875,17663.564208984375
7800,0.14525866843912705,0.15474080638015064,19531.297119140625,17629.577880859375
7900,0.14500941619585683,0.1548515728843598,19880.84912109375,17653.944580078125
